scroll,window_z,wrap,area_cm2,n_comp_fwd,n_comp_rev,pitch_fwd_dark,pitch_rev_dark,pitch_fwd_light,pitch_rev_light,gate_verdict,path
PHerc0125,6336,w020,2.21,30,27,0.507,0.7035,0.6685,0.912,aprova,meshes/PHerc0125/z6336_w020
PHerc0125,6336,w040,4.34,55,47,0.3005,0.944,0.5775,0.667,,meshes/PHerc0125/z6336_w040
PHerc0125,6336,w060,6.55,69,81,0.6415,0.6795,0.9875,0.5095,,meshes/PHerc0125/z6336_w060
PHerc0125,6336,w080,8.15,100,134,0.9865,0.1035,0.6925,0.595,,meshes/PHerc0125/z6336_w080
PHerc0125,6336,w100,10.05,98,131,0.267,0.5395,0.4685,0.2305,,meshes/PHerc0125/z6336_w100
PHerc0125,6944,w020,2.16,36,29,0.4545,,0.021,0.959,aprova,meshes/PHerc0125/z6944_w020
PHerc0125,6944,w040,4.23,51,47,0.988,0.094,0.657,0.9275,,meshes/PHerc0125/z6944_w040
PHerc0125,6944,w060,6.25,84,96,0.148,0.4495,0.8175,0.6515,,meshes/PHerc0125/z6944_w060
PHerc0125,6944,w080,8.14,84,101,0.2305,0.4785,0.897,0.8325,reprova,meshes/PHerc0125/z6944_w080
PHerc0125,6944,w100,10.10,100,74,0.269,0.409,0.015,0.7025,,meshes/PHerc0125/z6944_w100
PHerc0125,8144,w020,2.30,39,24,0.1545,0.977,0.2675,0.479,aprova,meshes/PHerc0125/z8144_w020
PHerc0125,8144,w040,4.33,43,43,0.3915,0.077,0.39,0.327,,meshes/PHerc0125/z8144_w040
PHerc0125,8144,w060,6.22,91,79,0.702,0.5065,0.853,0.497,,meshes/PHerc0125/z8144_w060
PHerc0125,8144,w080,8.08,100,117,0.9515,0.064,0.656,0.812,,meshes/PHerc0125/z8144_w080
PHerc0125,8144,w100,9.84,111,125,0.131,0.338,0.084,0.725,,meshes/PHerc0125/z8144_w100
PHerc0125,8736,w020,2.38,44,43,0.744,0.877,0.651,0.532,,meshes/PHerc0125/z8736_w020
PHerc0125,8736,w040,4.38,40,44,0.8275,0.7725,0.8745,0.0915,,meshes/PHerc0125/z8736_w040
PHerc0125,8736,w060,6.42,69,89,0.1675,0.7475,0.4215,0.8845,,meshes/PHerc0125/z8736_w060
PHerc0125,8736,w080,8.16,96,118,0.4805,0.2735,0.8275,0.6445,,meshes/PHerc0125/z8736_w080
PHerc0125,8736,w100,10.04,116,117,0.794,0.167,0.2805,0.7185,,meshes/PHerc0125/z8736_w100
PHerc0125,9344,w020,2.32,30,34,0.378,0.2955,0.3095,0.279,reprova,meshes/PHerc0125/z9344_w020
PHerc0125,9344,w040,4.54,53,40,0.3125,0.784,0.936,0.598,,meshes/PHerc0125/z9344_w040
PHerc0125,9344,w060,6.68,95,83,0.9145,0.5875,0.1535,0.749,,meshes/PHerc0125/z9344_w060
PHerc0125,9344,w080,8.41,98,119,0.933,0.627,0.8285,0.9795,,meshes/PHerc0125/z9344_w080
PHerc0125,9344,w100,10.17,102,105,0.841,0.13,0.39,0.918,,meshes/PHerc0125/z9344_w100
PHerc0125,9936,w020,2.30,27,22,0.5645,0.5975,0.579,0.558,reprova,meshes/PHerc0125/z9936_w020
PHerc0125,9936,w040,4.58,44,40,0.301,0.662,0.353,0.2545,,meshes/PHerc0125/z9936_w040
PHerc0125,9936,w060,6.63,81,98,0.55,0.907,0.9825,0.007,aprova,meshes/PHerc0125/z9936_w060
PHerc0125,9936,w080,8.30,108,120,0.0365,0.6315,0.4095,0.3915,,meshes/PHerc0125/z9936_w080
PHerc0125,9936,w100,10.36,116,123,0.6945,0.9255,0.4415,0.79,,meshes/PHerc0125/z9936_w100
PHerc0125,10544,w020,2.44,30,27,,,0.6015,0.426,,meshes/PHerc0125/z10544_w020
PHerc0125,10544,w040,4.43,57,36,0.9855,0.73,0.2715,0.9355,,meshes/PHerc0125/z10544_w040
PHerc0125,10544,w060,6.67,111,118,0.209,0.995,0.281,0.2275,,meshes/PHerc0125/z10544_w060
PHerc0125,10544,w080,8.39,113,118,0.5465,0.7865,0.3,0.152,,meshes/PHerc0125/z10544_w080
PHerc0125,10544,w100,10.19,110,110,1.0,0.628,0.456,0.48,,meshes/PHerc0125/z10544_w100
PHerc0125,11744,w020,2.50,43,27,0.715,,0.713,0.19,parcial,meshes/PHerc0125/z11744_w020
PHerc0125,11744,w040,4.49,42,41,0.4285,0.9975,0.9765,0.42,,meshes/PHerc0125/z11744_w040
PHerc0125,11744,w060,6.75,66,54,0.514,0.0295,1.0,0.8565,,meshes/PHerc0125/z11744_w060
PHerc0125,11744,w080,8.32,85,84,0.846,0.9895,0.7655,0.867,,meshes/PHerc0125/z11744_w080
PHerc0125,11744,w100,10.29,85,109,0.2365,0.068,0.3605,0.802,,meshes/PHerc0125/z11744_w100
PHerc0125,14144,w020,2.31,38,22,0.389,,0.5845,0.2635,,meshes/PHerc0125/z14144_w020
PHerc0125,14144,w040,4.48,64,52,0.9435,0.9215,0.0675,0.477,,meshes/PHerc0125/z14144_w040
PHerc0125,14144,w060,6.81,57,68,0.544,0.92,0.9245,0.107,,meshes/PHerc0125/z14144_w060
PHerc0125,14144,w080,8.60,125,152,0.6115,0.366,0.8675,0.274,,meshes/PHerc0125/z14144_w080
PHerc0125,14144,w100,10.28,79,83,0.6425,0.944,0.8875,0.8605,,meshes/PHerc0125/z14144_w100
PHerc0125,14736,w020,2.44,41,29,0.836,,0.9085,0.867,aprova,meshes/PHerc0125/z14736_w020
PHerc0125,14736,w040,4.65,58,40,0.656,0.8605,0.6795,0.4195,,meshes/PHerc0125/z14736_w040
PHerc0125,14736,w060,6.67,80,87,0.26,0.959,0.314,0.931,,meshes/PHerc0125/z14736_w060
PHerc0125,14736,w080,8.55,117,114,0.0475,0.2785,0.834,0.3475,,meshes/PHerc0125/z14736_w080
PHerc0125,14736,w100,10.19,75,76,0.263,0.1895,0.537,0.717,,meshes/PHerc0125/z14736_w100
PHerc0125,15344,w020,2.51,,,,,,,,meshes/PHerc0125/z15344_w020
PHerc0125,15344,w040,4.75,,,,,,,,meshes/PHerc0125/z15344_w040
PHerc0125,16544,w020,2.54,35,29,,0.8015,0.2,0.346,aprova,meshes/PHerc0125/z16544_w020
PHerc0125,16544,w040,4.74,62,52,0.3065,0.624,0.3735,0.5865,,meshes/PHerc0125/z16544_w040
PHerc0125,16544,w060,6.84,52,50,0.62,0.5495,0.6855,0.7485,,meshes/PHerc0125/z16544_w060
PHerc0125,16544,w080,8.47,83,67,0.996,0.493,0.481,0.2635,,meshes/PHerc0125/z16544_w080
PHerc0125,16544,w100,9.89,65,62,0.747,0.0275,0.76,0.2005,parcial,meshes/PHerc0125/z16544_w100
PHerc0125,17136,w020,2.31,28,30,0.177,0.179,0.316,0.7295,reprova,meshes/PHerc0125/z17136_w020
PHerc0125,17136,w040,4.44,63,59,0.39,0.586,0.3145,0.9665,,meshes/PHerc0125/z17136_w040
PHerc0125,17136,w060,6.54,62,62,0.2875,0.886,0.097,0.929,,meshes/PHerc0125/z17136_w060
