name,surface_class,orient_class,surface_voxels,surface_fraction,hf_energy,hf_energy_norm,dynamic_range,intensity_p50,n_samples,polarity,oriented,search_radius,noise_sigma,global_peak_offset,global_peak_offset_raw,global_peak_ci95,global_peak_ci95_width,global_offset_reliable,noise_estimate_failed,global_profile_contrast,global_profile_snr,n_cells,n_cells_considered,cell_frac_unresolved,cell_frac_low_snr,cell_size,neighbour_ridge_pos,neighbour_ridge_neg,winding_spacing,dominant_ridge_at,recommended_radius,cell_offset_median,cell_offset_mean,cell_abs_offset_median,cell_abs_offset_p90,cell_frac_ge_1vx,cell_frac_ge_2vx,cell_offset_worst,cell_snr_median,cell_voxels_median,naive_mean_signed_offset,naive_median_abs_offset,naive_frac_offset_ge_1vx,naive_median_prominence_snr,naive_frac_flat_support,overlay_png,drift_png
s1_z10240_y2560_x2560,1,,4209572,0.15591007407407406,11.873929023742676,0.06488485634326935,183.0,111.0,34297,bright,False,14.075000000000001,6.209026336669922,3.316678047180176,3.316678047180176,"[3.2214279174804688, 3.3837436199188233]",0.16231570243835458,True,False,38.05802917480469,6.129468150269805,84,84,0.0,0.0,64,27.0,-23.5,23.5,3.5,14.075000000000001,2.8926305770874023,2.670455739611671,2.960165023803711,5.645051193237305,0.8452380952380952,0.6190476190476191,8.015183448791504,150.51571609662398,319.0,0.8240812851628229,2.42836607247591,0.788380568234087,14.122119903564453,0.069475,,
s1_z10240_y2560_x3200,1,,4709947,0.17444248148148148,11.641268730163574,0.06690384447574615,174.0,122.0,35030,bright,False,14.125,6.16494607925415,4.077882766723633,4.077882766723633,"[3.949769306182861, 4.169950771331787]",0.22018146514892578,True,False,34.44348907470703,5.5869895100321925,85,85,0.0,0.0,64,26.0,-22.5,22.5,4.0,14.125,3.741992950439453,3.6512059884912826,3.7996673583984375,7.487950515747072,0.9294117647058824,0.7647058823529411,9.741994857788086,126.64784658440664,330.0,-0.9882495689167506,2.597762644290924,0.8035320088300221,12.565563201904297,0.088575,,
s1_z10240_y2880_x2560,1,,3994012,0.14792637037037037,12.484264373779297,0.06570665538311005,190.0,102.0,33020,bright,False,16.0,6.36555290222168,4.706697463989258,4.706697463989258,"[4.631844806671142, 4.785604810714721]",0.15376000404357892,True,False,60.085845947265625,9.43921869320962,84,84,0.0,0.0,64,29.5,-29.5,29.5,5.0,16.0,4.909662246704102,4.776872657594227,4.909662246704102,7.4807825088500985,0.9761904761904762,0.9047619047619048,11.931709289550781,196.31544731139127,305.0,-1.6522668195370886,2.7162501011043787,0.81717203211474,15.807982444763184,0.05895,,
s1_z10240_y2880_x3200,1,,4310252,0.15963896296296295,12.335247039794922,0.06777608394622803,182.0,117.0,33507,bright,False,16.0,6.401500225067139,5.034538269042969,5.034538269042969,"[4.938384866714477, 5.104263162612915]",0.1658782958984375,True,False,47.668235778808594,7.44641632474654,83,83,0.0,0.0,64,,-26.5,26.5,5.5,16.0,4.673076629638672,4.175630155816136,4.999176025390625,7.629956817626952,1.0,0.9759036144578314,-14.12940502166748,158.00663098200107,330.0,-1.528179284856924,2.7875857781618834,0.8224128119665068,13.653817176818848,0.085375,,
s1_z10240_y2880_x3520,1,,5147111,0.19063374074074074,11.441523551940918,0.06652048230171204,172.0,125.0,34560,bright,False,12.450000000000001,6.093215465545654,3.040332794189453,3.040332794189453,"[2.955843687057495, 3.1073251247406004]",0.1514814376831053,True,False,35.803871154785156,5.876022497027992,85,85,0.0,0.0,64,33.5,-21.0,21.0,3.0,12.450000000000001,2.9695234298706055,2.8877038955688477,2.977808952331543,6.294568824768068,0.9058823529411765,0.7058823529411765,10.020115852355957,128.87496825247194,341.0,-0.9086761398062744,2.4359845742583275,0.7854827794992343,12.44277286529541,0.07785,,
s1_z10240_y3200_x2560,1,,4223717,0.15643396296296297,12.910086631774902,0.07054692506790161,183.0,122.0,32857,bright,False,16.0,6.743611812591553,4.052982330322266,4.052982330322266,"[3.8821656703948975, 4.191332149505615]",0.3091664791107176,True,False,19.358787536621094,2.8706853351900694,83,83,0.0,0.0,64,33.0,-27.5,27.5,5.5,16.0,3.9410476684570312,2.5474647154290992,4.621723175048828,7.651552200317382,0.963855421686747,0.9156626506024096,-15.075080871582031,138.60660035128717,321.0,-0.5145629198891356,2.714245678856969,0.8159722222222222,12.908243179321289,0.076625,,
s1_z10240_y3200_x3520,1,,4436068,0.16429881481481481,10.424854278564453,0.06395616382360458,163.0,121.0,33640,bright,False,15.575000000000001,5.6021223068237305,4.920252799987793,4.920252799987793,"[4.836076974868774, 5.014822673797608]",0.17874569892883319,True,False,38.61780548095703,6.893424199953322,89,89,0.0,0.0,64,,-23.5,23.5,5.0,15.575000000000001,5.153193473815918,5.218649049823203,5.153193473815918,8.649799156188966,0.9662921348314607,0.9213483146067416,13.323145866394043,136.57662922316493,316.0,-1.3665345276404564,2.7129928804934025,0.8150961891925009,12.862125396728516,0.082525,,
s1_z10240_y3200_x3840,1,,3709608,0.1373928888888889,9.75697135925293,0.06136459857225418,159.0,109.0,34304,bright,False,14.8,5.362231254577637,3.5833005905151367,3.5833005905151367,"[3.5211228847503664, 3.6565526962280273]",0.13542981147766087,True,False,46.03546905517578,8.585133104036899,76,76,0.0,0.0,64,24.0,-24.0,24.0,4.0,14.8,3.4448347091674805,3.736451638372321,3.4448347091674805,6.985888481140137,0.9605263157894737,0.868421052631579,10.946457862854004,192.62752006566433,348.5,-1.2383216784736975,2.450736153870821,0.7923157175234737,15.034331321716309,0.051625,,
s1_z10240_y3520_x2560,1,,4263340,0.15790148148148148,12.250102043151855,0.06843632459640503,179.0,128.0,33616,bright,False,16.0,6.513771057128906,4.063657760620117,4.063657760620117,"[3.977883815765381, 4.166400289535522]",0.18851647377014125,True,False,42.43395233154297,6.514498584518368,87,87,0.0,0.0,64,,-29.0,29.0,4.0,16.0,3.7284317016601562,3.8610073835000223,3.755647659301758,7.504223251342774,0.9310344827586207,0.8275862068965517,15.202402114868164,146.75078854713075,310.0,1.2436238226945993,2.552343513816595,0.7958160902084361,12.10684871673584,0.079675,,
s1_z10240_y3520_x3840,1,,4341444,0.16079422222222223,9.405411720275879,0.06312356889247894,149.0,119.0,35249,bright,False,12.5,5.19797945022583,3.4945058822631836,3.4945058822631836,"[3.4271185636520385, 3.576991891860962]",0.14987332820892352,True,False,36.413429260253906,7.005304582085621,85,86,0.011627906976744186,0.0,64,23.5,-20.0,20.0,3.5,12.5,3.5270652770996094,3.692743559444652,3.5589065551757812,7.078492355346684,0.9529411764705882,0.8235294117647058,10.448125839233398,153.40053524661832,334.0,1.3166889831235542,2.5379167050123215,0.7908986813430355,13.022276878356934,0.059675,,
