name,has_image,has_label,label_shape,label_plane_shape,label_dtype,label_compression,label_bytes,label_header_error,image_shape,image_plane_shape,image_dtype,image_compression,image_bytes,image_header_error,shape,dtype,values,value_fractions_0,value_fractions_1,n_values,foreground_fraction,border_touch_fraction,per_class_1,surface_class,surface_fraction,surface_thickness_median,surface_thickness_p95,surface_components,surface_fragment_fraction,surface_worst_planarity
s1_z10240_y2560_x2560,True,True,"[300, 300, 300]",,uint8,LZW,741961,,"[300, 300, 300]",,uint8,LZW,28212306,,"[300, 300, 300]",uint8,"[0, 1]",0.8440899259259259,0.15591007407407406,2,0.15591007407407406,0.01953524016218276,"{'fraction': 0.15591007407407406, 'border_touch_fraction': 0.01953524016218276, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.2204198837280273, 'saturated': 0.0}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.09907277984555199, 'fragment_fraction': 0.0, 'median_planarity': 0.004660236635293712, 'worst_planarity': 0.019737091754409877}}",1,0.15591007407407406,4.0,6.0,15,0.0,0.019737091754409877
s1_z10240_y2560_x3200,True,True,"[300, 300, 300]",,uint8,LZW,926168,,"[300, 300, 300]",,uint8,LZW,28571760,,"[300, 300, 300]",uint8,"[0, 1]",0.8255575185185186,0.17444248148148148,2,0.17444248148148148,0.018643734207624843,"{'fraction': 0.17444248148148148, 'border_touch_fraction': 0.018643734207624843, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.3346199989318848, 'saturated': 0.0}, 'components': {'n_components': 19, 'n_components_ge_min_size': 19, 'largest_component_fraction': 0.09083711557688441, 'fragment_fraction': 0.0, 'median_planarity': 0.01016469232042848, 'worst_planarity': 0.01785955488746666}}",1,0.17444248148148148,4.0,6.0,19,0.0,0.01785955488746666
s1_z10240_y2880_x2560,True,True,"[300, 300, 300]",,uint8,LZW,1219753,,"[300, 300, 300]",,uint8,LZW,30224922,,"[300, 300, 300]",uint8,"[0, 1]",0.8520736296296296,0.14792637037037037,2,0.14792637037037037,0.021416810966016126,"{'fraction': 0.14792637037037037, 'border_touch_fraction': 0.021416810966016126, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 12.0, 'mean': 3.613110065460205, 'saturated': 0.0}, 'components': {'n_components': 17, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.12906821511803168, 'fragment_fraction': 0.0, 'median_planarity': 0.0070014582428154955, 'worst_planarity': 0.017971576043619323}}",1,0.14792637037037037,4.0,6.0,17,0.0,0.017971576043619323
s1_z10240_y2880_x3200,True,True,"[300, 300, 300]",,uint8,LZW,1055848,,"[300, 300, 300]",,uint8,LZW,29393779,,"[300, 300, 300]",uint8,"[0, 1]",0.840361037037037,0.15963896296296295,2,0.15963896296296295,0.020140585747654663,"{'fraction': 0.15963896296296295, 'border_touch_fraction': 0.020140585747654663, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.6131300926208496, 'saturated': 0.0}, 'components': {'n_components': 17, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.11097564597151165, 'fragment_fraction': 0.0, 'median_planarity': 0.005571697921290281, 'worst_planarity': 0.014423285491449491}}",1,0.15963896296296295,4.0,6.0,17,0.0,0.014423285491449491
s1_z10240_y2880_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1406407,,"[300, 300, 300]",,uint8,LZW,30361287,,"[300, 300, 300]",uint8,"[0, 1]",0.8093662592592593,0.19063374074074074,2,0.19063374074074074,0.019785468003312927,"{'fraction': 0.19063374074074074, 'border_touch_fraction': 0.019785468003312927, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.803420066833496, 'saturated': 0.0}, 'components': {'n_components': 24, 'n_components_ge_min_size': 23, 'largest_component_fraction': 0.09718053486703512, 'fragment_fraction': 1.554269958429107e-06, 'median_planarity': 0.0034802529705287343, 'worst_planarity': 0.009001429015377439}}",1,0.19063374074074074,4.0,6.0,24,1.554269958429107e-06,0.009001429015377439
s1_z10240_y3200_x2560,True,True,"[300, 300, 300]",,uint8,LZW,1403328,,"[300, 300, 300]",,uint8,LZW,31728342,,"[300, 300, 300]",uint8,"[0, 1]",0.843566037037037,0.15643396296296297,2,0.15643396296296297,0.02124384753997486,"{'fraction': 0.15643396296296297, 'border_touch_fraction': 0.02124384753997486, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.2511699199676514, 'saturated': 0.0}, 'components': {'n_components': 18, 'n_components_ge_min_size': 18, 'largest_component_fraction': 0.09712487839502505, 'fragment_fraction': 0.0, 'median_planarity': 0.004786504498916919, 'worst_planarity': 0.007331479314703208}}",1,0.15643396296296297,4.0,6.0,18,0.0,0.007331479314703208
s1_z10240_y3200_x3520,True,True,"[300, 300, 300]",,uint8,LZW,1392436,,"[300, 300, 300]",,uint8,LZW,30046480,,"[300, 300, 300]",uint8,"[0, 1]",0.8357011851851852,0.16429881481481481,2,0.16429881481481481,0.019932516814440176,"{'fraction': 0.16429881481481481, 'border_touch_fraction': 0.019932516814440176, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.4453699588775635, 'saturated': 0.0}, 'components': {'n_components': 17, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.09828929583586185, 'fragment_fraction': 0.0, 'median_planarity': 0.005789115522263329, 'worst_planarity': 0.02145231536404295}}",1,0.16429881481481481,4.0,6.0,17,0.0,0.02145231536404295
s1_z10240_y3200_x3840,True,True,"[300, 300, 300]",,uint8,LZW,1265183,,"[300, 300, 300]",,uint8,LZW,29466240,,"[300, 300, 300]",uint8,"[0, 1]",0.8626071111111111,0.1373928888888889,2,0.1373928888888889,0.01956567917688338,"{'fraction': 0.1373928888888889, 'border_touch_fraction': 0.01956567917688338, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.3735599517822266, 'saturated': 0.0}, 'components': {'n_components': 15, 'n_components_ge_min_size': 14, 'largest_component_fraction': 0.1109265453384832, 'fragment_fraction': 3.234843142456022e-06, 'median_planarity': 0.008731179338766056, 'worst_planarity': 0.016778609175318433}}",1,0.1373928888888889,4.0,6.0,15,3.234843142456022e-06,0.016778609175318433
s1_z10240_y3520_x2560,True,True,"[300, 300, 300]",,uint8,LZW,1408608,,"[300, 300, 300]",,uint8,LZW,31444782,,"[300, 300, 300]",uint8,"[0, 1]",0.8420985185185185,0.15790148148148148,2,0.15790148148148148,0.020842344265294348,"{'fraction': 0.15790148148148148, 'border_touch_fraction': 0.020842344265294348, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.2125799655914307, 'saturated': 0.0}, 'components': {'n_components': 17, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.09135325824353675, 'fragment_fraction': 0.0, 'median_planarity': 0.003586511526051603, 'worst_planarity': 0.008483289433236703}}",1,0.15790148148148148,4.0,6.0,17,0.0,0.008483289433236703
s1_z10240_y3520_x3840,True,True,"[300, 300, 300]",,uint8,LZW,1423227,,"[300, 300, 300]",,uint8,LZW,29592259,,"[300, 300, 300]",uint8,"[0, 1]",0.8392057777777778,0.16079422222222223,2,0.16079422222222223,0.019257647916223267,"{'fraction': 0.16079422222222223, 'border_touch_fraction': 0.019257647916223267, 'thickness': {'median': 4.0, 'p95': 6.0, 'max': 8.0, 'mean': 3.1650500297546387, 'saturated': 0.0}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.0884086032204953, 'fragment_fraction': 0.0, 'median_planarity': 0.005659716267663564, 'worst_planarity': 0.013821537771349772}}",1,0.16079422222222223,4.0,6.0,15,0.0,0.013821537771349772
