name,surface_class,orient_class,surface_voxels,surface_fraction,hf_energy,hf_energy_norm,dynamic_range,intensity_p50,n_samples,polarity,oriented,search_radius,noise_sigma,global_peak_offset,global_peak_offset_raw,global_peak_ci95,global_peak_ci95_width,global_offset_reliable,global_profile_contrast,global_profile_snr,n_cells,n_cells_considered,cell_frac_unresolved,cell_frac_low_snr,cell_size,neighbour_ridge_pos,neighbour_ridge_neg,winding_spacing,dominant_ridge_at,recommended_radius,cell_offset_median,cell_offset_mean,cell_abs_offset_median,cell_abs_offset_p90,cell_frac_ge_1vx,cell_frac_ge_2vx,cell_offset_worst,cell_snr_median,cell_voxels_median,naive_mean_signed_offset,naive_median_abs_offset,naive_frac_offset_ge_1vx,naive_median_prominence_snr,naive_frac_flat_support,overlay_png,drift_png
sample_00001,1,2,1383251,0.042213470458984374,16.231002807617188,0.09222161024808884,176.0,55.0,38739,bright,False,7.625,7.191059589385986,1.9364814758300781,1.9364814758300781,"[1.8996273279190063, 1.9737665176391601]",0.07413918972015376,True,51.881412506103516,7.214710413842287,49,49,0.0,0.0,64,14.5,-12.5,12.5,2.0,7.625,1.9364995956420898,1.7562725495318978,1.9364995956420898,3.0785572052001955,0.7755102040816326,0.46938775510204084,3.9842376708984375,224.18862072366042,813.0,1.2254536208993256,2.0095165870152414,0.7401708434689144,14.57316780090332,0.01325,,
sample_00002,1,2,1949765,0.05950210571289063,13.752799987792969,0.08137751370668411,169.0,62.0,35487,bright,False,12.225,6.220637798309326,2.5519533157348633,2.5519533157348633,"[2.496878242492676, 2.600030541419983]",0.10315229892730704,True,48.475563049316406,7.79269981970198,72,72,0.0,0.0,64,20.5,-22.5,20.5,3.0,12.225,2.6659817695617676,2.8198880751927695,2.6659817695617676,5.057794189453125,0.8194444444444444,0.6805555555555556,8.787073135375977,200.2952974528659,482.0,1.4385247828215748,2.20453042909503,0.7598414557247095,14.61387825012207,0.020525,,
sample_00003,1,2,2083748,0.0635909423828125,17.126792907714844,0.09957437962293625,172.0,76.0,38212,bright,False,7.8500000000000005,8.843513488769531,1.599653720855713,1.599653720855713,"[1.5656447649002074, 1.6364629745483399]",0.07081820964813246,True,43.404258728027344,4.9080333040874375,65,65,0.0,0.0,64,16.0,-13.0,13.0,2.0,7.8500000000000005,1.6535019874572754,1.5283671965965857,1.6535019874572754,2.952128314971924,0.6461538461538462,0.3230769230769231,6.112707614898682,137.15299789572242,552.0,-0.843796051685445,1.9098262414336205,0.7264575267592803,10.408748626708984,0.0531,,
sample_00004,1,2,3562208,0.1087099609375,16.281753540039062,0.09198731184005737,177.0,61.0,37085,bright,False,9.25,7.890655040740967,2.3449783325195312,2.3449783325195312,"[2.299342966079712, 2.3961326122283935]",0.09678964614868146,True,41.10154724121094,5.208889126314071,107,107,0.0,0.0,64,19.0,-15.0,15.0,2.5,9.25,2.2937698364257812,2.557027139396311,2.2937698364257812,4.6679840087890625,0.9252336448598131,0.5700934579439252,7.739566802978516,110.52338358470223,310.0,1.0968078868972617,2.190614242106676,0.7599902459840887,11.390326499938965,0.046,,
sample_00005,1,2,3260413,0.09949990844726563,14.033732414245605,0.0811198428273201,173.0,60.0,35949,bright,False,12.0,6.332072734832764,2.4362783432006836,2.4362783432006836,"[2.386015272140503, 2.4736817359924315]",0.08766646385192844,True,54.014198303222656,8.530255504819186,106,106,0.0,0.0,64,21.5,-20.0,20.0,3.0,12.0,2.6820945739746094,2.6838905766325176,2.6820945739746094,4.271302223205566,0.8962264150943396,0.660377358490566,7.040687561035156,169.88897460229424,288.0,1.5801139200577088,2.215203557163477,0.7614521610972419,14.04619026184082,0.024425,,
sample_00006,1,2,2396207,0.07312643432617187,13.393284797668457,0.0811714231967926,165.0,81.0,37869,bright,False,11.15,7.081928253173828,3.3383874893188477,3.3383874893188477,"[3.2710689544677733, 3.3997118711471557]",0.12864291667938232,True,35.151878356933594,4.963602722348955,88,88,0.0,0.0,64,28.5,-17.0,17.0,3.5,11.15,3.1518921852111816,3.2193905982104214,3.1518921852111816,4.8616687774658205,0.9431818181818182,0.8181818181818182,6.732276916503906,113.81772714171485,417.0,1.360631410467802,2.642744705080986,0.8136249274240371,9.75112533569336,0.067225,,
sample_00007,1,2,857775,0.026177215576171874,12.576862335205078,0.07763495296239853,162.0,86.0,35624,bright,False,9.975000000000001,7.16995096206665,2.7727231979370117,2.7727231979370117,"[2.719016909599304, 2.8227285385131835]",0.1037116289138793,True,34.8818359375,4.865003418021389,37,37,0.0,0.0,64,18.0,-15.5,15.5,3.0,9.975000000000001,2.520939826965332,2.357308967693432,2.6541528701782227,3.858283042907715,0.9459459459459459,0.7027027027027027,-7.610132694244385,164.68795050410287,999.0,-1.4771854823229318,2.6011213213205338,0.8123956657662306,9.3419189453125,0.075525,,
sample_00008,1,2,2654228,0.0810006103515625,19.49920082092285,0.10954607278108597,178.0,93.0,37433,bright,False,8.525,11.089906692504883,1.6080141067504883,1.6080141067504883,"[1.5552594900131225, 1.65770423412323]",0.10244474411010751,True,38.2265625,3.4469688122656104,84,84,0.0,0.0,64,16.0,-14.5,14.5,2.0,8.525,1.3913683891296387,1.3271569183894567,1.4655675888061523,3.0259877204895025,0.6785714285714286,0.35714285714285715,4.490394592285156,83.71017716291132,433.0,0.6971984246491919,2.009365862235427,0.7400815177550362,7.992198467254639,0.091875,,
sample_00009,1,2,2104417,0.06422171020507812,19.900415420532227,0.10529320687055588,189.0,68.0,37312,bright,False,6.95,10.809493064880371,1.7986936569213867,1.7986936569213867,"[1.7549267292022706, 1.8498542547225953]",0.0949275255203248,True,51.321929931640625,4.747857242110975,72,72,0.0,0.0,64,11.0,-26.5,11.0,2.0,6.95,1.8354253768920898,1.8450693090756733,1.8354253768920898,2.894560050964355,0.8194444444444444,0.4027777777777778,4.754850387573242,112.66883952330517,483.0,1.1518989514984657,2.018354165367782,0.7377670572019297,9.432806015014648,0.0424,,
sample_00010,1,2,1114501,0.034011871337890624,16.189165115356445,0.09304118156433105,174.0,55.0,36233,bright,False,8.25,7.245071887969971,1.2360353469848633,1.2360353469848633,"[1.1903838634490966, 1.286020851135254]",0.09563698768615736,True,46.591712951660156,6.43081444492263,45,45,0.0,0.0,64,16.0,-15.0,15.0,1.5,8.25,1.1128511428833008,1.2257390022277832,1.1128511428833008,2.3421152114868167,0.6,0.2222222222222222,4.120774269104004,212.6104773546415,813.0,0.6706774977656456,1.8789651095867157,0.7149441340782123,14.438722610473633,0.016475,,
