name,has_image,has_label,label_shape,label_plane_shape,label_dtype,label_compression,label_bytes,label_header_error,image_shape,image_plane_shape,image_dtype,image_compression,image_bytes,image_header_error,shape,dtype,values,value_fractions_0,value_fractions_1,value_fractions_2,n_values,foreground_fraction,border_touch_fraction,per_class_1,per_class_2,surface_class,surface_fraction,surface_thickness_median,surface_thickness_p95,surface_components,surface_fragment_fraction,surface_worst_planarity,surface_junction_fraction
sample_00002,True,True,"[320, 320, 320]",,uint8,LZW,705353,,"[320, 320, 320]",,uint8,LZW,31062469,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.32041799926757814,0.05950210571289063,0.6200798950195312,3,0.6795820007324219,0.027590489418189597,"{'fraction': 0.05950210571289063, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6628599166870117, 'saturated': 0.0}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.15460170841101364, 'fragment_fraction': 0.0, 'median_planarity': 0.0035564986398791123, 'worst_planarity': 0.009443482759909555}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0015, 'junctions': 6, 'radius': 5}}","{'fraction': 0.6200798950195312, 'border_touch_fraction': 0.03023803892143514, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.67848014831543, 'saturated': 0.9038459891633247}, 'skipped': 'thickness saturated for 90% of voxels: a region, not a sheet'}",1,0.05950210571289063,2.0,4.0,8,0.0,0.009443482759909555,0.0015
sample_00015,True,True,"[320, 320, 320]",,uint8,LZW,443593,,"[320, 320, 320]",,uint8,LZW,31598440,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.18563601684570313,0.03574710083007813,0.7786168823242188,3,0.8143639831542969,0.023024102720475365,"{'fraction': 0.03574710083007813, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.649630069732666, 'saturated': 0.0}, 'components': {'n_components': 4, 'n_components_ge_min_size': 4, 'largest_component_fraction': 0.25321485007610806, 'fragment_fraction': 0.0, 'median_planarity': 0.0013420840207344167, 'worst_planarity': 0.004569159510567251}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0015, 'junctions': 6, 'radius': 5}}","{'fraction': 0.7786168823242188, 'border_touch_fraction': 0.024081162925764094, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.764679908752441, 'saturated': 0.9267664555985137}, 'skipped': 'thickness saturated for 93% of voxels: a region, not a sheet'}",1,0.03574710083007813,2.0,4.0,4,0.0,0.004569159510567251,0.0015
sample_00017,True,True,"[320, 320, 320]",,uint8,LZW,643961,,"[320, 320, 320]",,uint8,LZW,36727318,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.09615530395507813,0.026715667724609374,0.8771290283203125,3,0.9038446960449219,0.02074471430993285,"{'fraction': 0.026715667724609374, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.745529890060425, 'saturated': 0.0}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.2735570052740459, 'fragment_fraction': 0.0, 'median_planarity': 0.01654843231823115, 'worst_planarity': 0.02078759768516485}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00525, 'junctions': 21, 'radius': 5}}","{'fraction': 0.8771290283203125, 'border_touch_fraction': 0.021376558516032627, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.881380081176758, 'saturated': 0.9622108441221632}, 'skipped': 'thickness saturated for 96% of voxels: a region, not a sheet'}",1,0.026715667724609374,2.0,4.0,5,0.0,0.02078759768516485,0.00525
sample_00023,True,True,"[320, 320, 320]",,uint8,LZW,668713,,"[320, 320, 320]",,uint8,LZW,32249785,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.09972222900390625,0.023123016357421877,0.8771547546386719,3,0.9002777709960937,0.020826905433035905,"{'fraction': 0.023123016357421877, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7714500427246094, 'saturated': 0.0}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.4212460158771009, 'fragment_fraction': 0.0, 'median_planarity': 0.002487685402187708, 'worst_planarity': 0.003505788318443024}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0025, 'junctions': 10, 'radius': 5}}","{'fraction': 0.8771547546386719, 'border_touch_fraction': 0.021375931556939145, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.876309871673584, 'saturated': 0.9608013636341338}, 'skipped': 'thickness saturated for 96% of voxels: a region, not a sheet'}",1,0.023123016357421877,2.0,4.0,5,0.0,0.003505788318443024,0.0025
sample_00024,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,36906405,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.20131948852539064,0.050890625,0.7477898864746094,3,0.7986805114746094,0.023476220754882007,"{'fraction': 0.050890625, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.777980089187622, 'saturated': 0.0}, 'components': {'n_components': 6, 'n_components_ge_min_size': 6, 'largest_component_fraction': 0.22755735243322076, 'fragment_fraction': 0.0, 'median_planarity': 0.004607675135399806, 'worst_planarity': 0.00962765243098646}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.001, 'junctions': 4, 'radius': 5}}","{'fraction': 0.7477898864746094, 'border_touch_fraction': 0.025073888185885008, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.696720123291016, 'saturated': 0.9020847525987938}, 'skipped': 'thickness saturated for 90% of voxels: a region, not a sheet'}",1,0.050890625,2.0,4.0,6,0.0,0.00962765243098646,0.001
sample_00028,True,True,"[320, 320, 320]",,uint8,LZW,1084633,,"[320, 320, 320]",,uint8,LZW,33041903,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.20626193237304688,0.045380767822265626,0.7483572998046875,3,0.7937380676269531,0.023622402357564968,"{'fraction': 0.045380767822265626, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7130799293518066, 'saturated': 0.0}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.20975201020552953, 'fragment_fraction': 0.0, 'median_planarity': 0.0028786505250680996, 'worst_planarity': 0.0032026016347652085}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.002, 'junctions': 8, 'radius': 5}}","{'fraction': 0.7483572998046875, 'border_touch_fraction': 0.02505487686816649, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.757480144500732, 'saturated': 0.9237425216656991}, 'skipped': 'thickness saturated for 92% of voxels: a region, not a sheet'}",1,0.045380767822265626,2.0,4.0,5,0.0,0.0032026016347652085,0.002
sample_00034,True,True,"[320, 320, 320]",,uint8,LZW,1383817,,"[320, 320, 320]",,uint8,LZW,31060004,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.8260758056640625,0.07453372192382812,0.09939047241210938,3,0.1739241943359375,0.10780558778259487,"{'fraction': 0.07453372192382812, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7282400131225586, 'saturated': 0.0}, 'components': {'n_components': 11, 'n_components_ge_min_size': 11, 'largest_component_fraction': 0.14582030781375585, 'fragment_fraction': 0.0, 'median_planarity': 0.00912208928530408, 'worst_planarity': 0.022781888894522276}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0015, 'junctions': 6, 'radius': 5}}","{'fraction': 0.09939047241210938, 'border_touch_fraction': 0.1886498730205811, 'thickness': {'median': 6.0, 'p95': 48.0, 'max': 48.0, 'mean': 20.802030563354492, 'saturated': 0.2761648070345769}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.23370228183079161, 'worst_planarity': 0.23370228183079161}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.07453372192382812,2.0,4.0,11,0.0,0.022781888894522276,0.0015
sample_00038,True,True,"[320, 320, 320]",,uint8,LZW,490937,,"[320, 320, 320]",,uint8,LZW,31781068,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.0520010986328125,0.011779541015625,0.9362193603515625,3,0.9479989013671875,0.019778503933874897,"{'fraction': 0.011779541015625, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.804270029067993, 'saturated': 0.0}, 'components': {'n_components': 3, 'n_components_ge_min_size': 3, 'largest_component_fraction': 0.4348768886401791, 'fragment_fraction': 0.0, 'median_planarity': 0.0013783338501028254, 'worst_planarity': 0.001409046925134242}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0065, 'junctions': 26, 'radius': 5}}","{'fraction': 0.9362193603515625, 'border_touch_fraction': 0.020027357683523157, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.947070121765137, 'saturated': 0.9839894248771336}, 'skipped': 'thickness saturated for 98% of voxels: a region, not a sheet'}",1,0.011779541015625,2.0,4.0,3,0.0,0.001409046925134242,0.0065
sample_00040,True,True,"[320, 320, 320]",,uint8,LZW,1215817,,"[320, 320, 320]",,uint8,LZW,27444112,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.5777457275390625,0.04799014282226562,0.3742641296386719,3,0.4222542724609375,0.04440452405779873,"{'fraction': 0.04799014282226562, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.757430076599121, 'saturated': 0.0}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.21740100894030745, 'fragment_fraction': 0.0, 'median_planarity': 0.005143640006642494, 'worst_planarity': 0.027347248589417082}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00475, 'junctions': 19, 'radius': 5}}","{'fraction': 0.3742641296386719, 'border_touch_fraction': 0.05009830896191395, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.406139850616455, 'saturated': 0.8318221620926546}, 'skipped': 'thickness saturated for 83% of voxels: a region, not a sheet'}",1,0.04799014282226562,2.0,4.0,7,0.0,0.027347248589417082,0.00475
sample_00042,True,True,"[320, 320, 320]",,uint8,LZW,913801,,"[320, 320, 320]",,uint8,LZW,32500930,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.18562554931640626,0.03070989990234375,0.78366455078125,3,0.8143744506835937,0.023023806781095685,"{'fraction': 0.03070989990234375, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6650800704956055, 'saturated': 0.0}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.3059409600696411, 'fragment_fraction': 0.0, 'median_planarity': 0.0008526045881471235, 'worst_planarity': 0.011910508849877165}, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00075, 'junctions': 3, 'radius': 5}}","{'fraction': 0.78366455078125, 'border_touch_fraction': 0.02392605354077554, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 7.796850204467773, 'saturated': 0.9387768739738745}, 'skipped': 'thickness saturated for 94% of voxels: a region, not a sheet'}",1,0.03070989990234375,2.0,4.0,7,0.0,0.011910508849877165,0.00075
