name,has_image,has_label,label_shape,label_plane_shape,label_dtype,label_compression,label_bytes,label_header_error,image_shape,image_plane_shape,image_dtype,image_compression,image_bytes,image_header_error,shape,dtype,values,value_fractions_0,value_fractions_1,value_fractions_2,n_values,foreground_fraction,border_touch_fraction,per_class_1,per_class_2,surface_class,surface_fraction,surface_thickness_median,surface_thickness_p95,surface_components,surface_fragment_fraction,surface_worst_planarity
sample_00001,True,True,"[320, 320, 320]",,uint8,LZW,689529,,"[320, 320, 320]",,uint8,LZW,32543645,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.20694009399414062,0.042213470458984374,0.750846435546875,3,0.7930599060058594,0.02364260235324703,"{'fraction': 0.042213470458984374, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.688699960708618, 'saturated': 1.4458691878769652e-05}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.22286844542313725, 'fragment_fraction': 0.0, 'median_planarity': 0.00594125631878609, 'worst_planarity': 0.0073660660139176935}}","{'fraction': 0.750846435546875, 'border_touch_fraction': 0.024971817288236227, 'skipped': 'fraction 0.75 exceeds sheet_fraction_max'}",1,0.042213470458984374,2.0,4.0,5,0.0,0.0073660660139176935
sample_00002,True,True,"[320, 320, 320]",,uint8,LZW,705353,,"[320, 320, 320]",,uint8,LZW,31062469,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.32041799926757814,0.05950210571289063,0.6200798950195312,3,0.6795820007324219,0.027590489418189597,"{'fraction': 0.05950210571289063, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.6628599166870117, 'saturated': 0.0002046400463645619}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.15460170841101364, 'fragment_fraction': 0.0, 'median_planarity': 0.0035564986398791123, 'worst_planarity': 0.009443482759909555}}","{'fraction': 0.6200798950195312, 'border_touch_fraction': 0.03023803892143514, 'skipped': 'fraction 0.62 exceeds sheet_fraction_max'}",1,0.05950210571289063,2.0,4.0,8,0.0,0.009443482759909555
sample_00003,True,True,"[320, 320, 320]",,uint8,LZW,1149609,,"[320, 320, 320]",,uint8,LZW,35955507,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.2986820068359375,0.0635909423828125,0.63772705078125,3,0.7013179931640625,0.02673537565378524,"{'fraction': 0.0635909423828125, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.8214900493621826, 'saturated': 3.935216734461173e-05}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.16160591395888563, 'fragment_fraction': 0.0, 'median_planarity': 0.004949228720277377, 'worst_planarity': 0.0077270652493464966}}","{'fraction': 0.63772705078125, 'border_touch_fraction': 0.029401293197505483, 'skipped': 'fraction 0.64 exceeds sheet_fraction_max'}",1,0.0635909423828125,2.0,4.0,8,0.0,0.0077270652493464966
sample_00004,True,True,"[320, 320, 320]",,uint8,LZW,1391545,,"[320, 320, 320]",,uint8,LZW,33415165,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.7027449035644531,0.1087099609375,0.18854513549804688,3,0.2972550964355469,0.06307713551369007,"{'fraction': 0.1087099609375, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.709789991378784, 'saturated': 4.6600310818458666e-05}, 'components': {'n_components': 18, 'n_components_ge_min_size': 18, 'largest_component_fraction': 0.08819024604964112, 'fragment_fraction': 0.0, 'median_planarity': 0.007265065106701151, 'worst_planarity': 0.017033283561247208}}","{'fraction': 0.18854513549804688, 'border_touch_fraction': 0.09944568418841138, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 6.578179836273193, 'saturated': 0.6432619155563059}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.19897733847515142, 'worst_planarity': 0.19897733847515142}}",1,0.1087099609375,2.0,4.0,18,0.0,0.017033283561247208
sample_00005,True,True,"[320, 320, 320]",,uint8,NONE,32821210,,"[320, 320, 320]",,uint8,LZW,31010108,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.7096263732910156,0.09949990844726563,0.19087371826171876,3,0.29037362670898437,0.0645719799435899,"{'fraction': 0.09949990844726563, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 4.0, 'mean': 2.6521100997924805, 'saturated': 2.760386490913881e-06}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.09122433262289165, 'fragment_fraction': 0.0, 'median_planarity': 0.0025089489328294044, 'worst_planarity': 0.005523406786065025}}","{'fraction': 0.19087371826171876, 'border_touch_fraction': 0.09823248674964626, 'thickness': {'median': 8.0, 'p95': 8.0, 'max': 8.0, 'mean': 6.645669937133789, 'saturated': 0.6622342134925774}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.3153245841514754, 'worst_planarity': 0.3153245841514754}}",1,0.09949990844726563,2.0,4.0,15,0.0,0.005523406786065025
sample_00006,True,True,"[320, 320, 320]",,uint8,LZW,1179177,,"[320, 320, 320]",,uint8,LZW,33984817,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.3682284851074219,0.07312643432617187,0.5586450805664063,3,0.6317715148925781,0.029678451082410885,"{'fraction': 0.07312643432617187, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7187299728393555, 'saturated': 0.00015566267855823807}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.13149740402227353, 'fragment_fraction': 0.0, 'median_planarity': 0.001953911905237797, 'worst_planarity': 0.0036225777696647803}}","{'fraction': 0.5586450805664063, 'border_touch_fraction': 0.033563349346940476, 'skipped': 'fraction 0.56 exceeds sheet_fraction_max'}",1,0.07312643432617187,2.0,4.0,8,0.0,0.0036225777696647803
sample_00007,True,True,"[320, 320, 320]",,uint8,LZW,654393,,"[320, 320, 320]",,uint8,LZW,34235621,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.12556842041015626,0.026177215576171874,0.8482543640136718,3,0.8744315795898437,0.021442500977371808,"{'fraction': 0.026177215576171874, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.7771201133728027, 'saturated': 2.098452391361371e-05}, 'components': {'n_components': 6, 'n_components_ge_min_size': 6, 'largest_component_fraction': 0.27360904666142055, 'fragment_fraction': 0.0, 'median_planarity': 0.004560775612775209, 'worst_planarity': 0.006875444597294464}}","{'fraction': 0.8482543640136718, 'border_touch_fraction': 0.02210421872901534, 'skipped': 'fraction 0.85 exceeds sheet_fraction_max'}",1,0.026177215576171874,2.0,4.0,6,0.0,0.006875444597294464
sample_00008,True,True,"[320, 320, 320]",,uint8,LZW,1467001,,"[320, 320, 320]",,uint8,LZW,37018317,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.33531817626953125,0.0810006103515625,0.5836812133789062,3,0.6646818237304688,0.028208985608734208,"{'fraction': 0.0810006103515625, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.8114700317382812, 'saturated': 0.00021512846673307643}, 'components': {'n_components': 17, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.1272147682866732, 'fragment_fraction': 0.0, 'median_planarity': 0.002567356607582396, 'worst_planarity': 0.02004574016598955}}","{'fraction': 0.5836812133789062, 'border_touch_fraction': 0.03212369966724992, 'skipped': 'fraction 0.58 exceeds sheet_fraction_max'}",1,0.0810006103515625,2.0,4.0,17,0.0,0.02004574016598955
sample_00009,True,True,"[320, 320, 320]",,uint8,LZW,995065,,"[320, 320, 320]",,uint8,LZW,34761488,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.30540960693359376,0.06422171020507812,0.6303686828613281,3,0.6945903930664062,0.0269943267099109,"{'fraction': 0.06422171020507812, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.689120054244995, 'saturated': 8.553437840504044e-06}, 'components': {'n_components': 12, 'n_components_ge_min_size': 12, 'largest_component_fraction': 0.14495321031905747, 'fragment_fraction': 0.0, 'median_planarity': 0.001867897126285795, 'worst_planarity': 0.0060581166845177096}}","{'fraction': 0.6303686828613281, 'border_touch_fraction': 0.029744497957752646, 'skipped': 'fraction 0.63 exceeds sheet_fraction_max'}",1,0.06422171020507812,2.0,4.0,12,0.0,0.0060581166845177096
sample_00010,True,True,"[320, 320, 320]",,uint8,LZW,730729,,"[320, 320, 320]",,uint8,LZW,32912723,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.226891357421875,0.034011871337890624,0.7390967712402344,3,0.773108642578125,0.02425273624865118,"{'fraction': 0.034011871337890624, 'border_touch_fraction': 0.0, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 6.0, 'mean': 2.737299919128418, 'saturated': 4.66576521689976e-05}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.2409849789277892, 'fragment_fraction': 0.0, 'median_planarity': 0.012330793086653864, 'worst_planarity': 0.023197614776243585}}","{'fraction': 0.7390967712402344, 'border_touch_fraction': 0.025368802475671404, 'skipped': 'fraction 0.74 exceeds sheet_fraction_max'}",1,0.034011871337890624,2.0,4.0,8,0.0,0.023197614776243585
