name,surface_class,orient_class,surface_voxels,surface_fraction,hf_energy,hf_energy_norm,dynamic_range,intensity_p50,n_samples,polarity,oriented,search_radius,noise_sigma,global_peak_offset,global_peak_offset_raw,global_peak_ci95,global_peak_ci95_width,global_offset_reliable,global_profile_contrast,global_profile_snr,n_cells,n_cells_considered,cell_frac_unresolved,cell_frac_low_snr,cell_size,neighbour_ridge_pos,neighbour_ridge_neg,winding_spacing,dominant_ridge_at,recommended_radius,cell_offset_median,cell_offset_mean,cell_abs_offset_median,cell_abs_offset_p90,cell_frac_ge_1vx,cell_frac_ge_2vx,cell_offset_worst,cell_snr_median,cell_voxels_median,naive_mean_signed_offset,naive_median_abs_offset,naive_frac_offset_ge_1vx,naive_median_prominence_snr,naive_frac_flat_support,overlay_png,drift_png
sample_00004,1,2,3562208,0.1087099609375,16.281757354736328,0.09198732674121857,177.0,61.0,37105,bright,True,9.275,7.890655040740967,0.08373832702636719,0.08373832702636719,"[-0.03164153099060058, 0.18747076988220215]",0.21911230087280273,True,18.088058471679688,2.292339277067312,107,107,0.0,0.0,64,19.5,-24.5,19.5,0.5,9.275,-0.0060367584228515625,-0.04458628859475394,1.12298583984375,4.339445114135742,0.5327102803738317,0.35514018691588783,-7.472723960876465,68.26576276529927,310.0,-0.008204194656007736,2.1911041382700205,0.7595538489669044,11.390451431274414,0.046075,,
sample_00027,1,2,1284498,0.03919976806640625,16.600133895874023,0.09273818135261536,179.0,54.0,37351,bright,True,8.825000000000001,7.144576072692871,0.6128158569335938,0.6128158569335938,"[0.5474434137344361, 0.6784939527511596]",0.1310505390167236,True,32.02867126464844,4.482935157911542,68,68,0.0,0.0,64,23.5,-18.5,18.5,0.5,8.825000000000001,0.39104747772216797,0.3512818322462194,1.5979735851287842,3.4428915023803714,0.5441176470588235,0.3235294117647059,5.029430389404297,162.21857157056232,509.5,0.10880130327630312,1.9814580585807562,0.7342089851920021,13.979402542114258,0.006925,,
sample_00064,1,2,2790700,0.0851654052734375,13.779579162597656,0.07919298112392426,174.0,50.0,36520,bright,True,13.775,4.568802833557129,0.24919605255126953,0.24919605255126953,"[0.15729739665985107, 0.3517945766448975]",0.19449717998504643,True,27.32220458984375,5.980167143385246,91,91,0.0,0.0,64,33.5,-29.5,29.5,0.5,13.775,0.12402057647705078,0.24012735387781164,0.6792888641357422,2.9212331771850586,0.42857142857142855,0.24175824175824176,-5.709042549133301,138.67002310773552,326.0,0.08525552006818143,2.221909387037158,0.7596407359119224,21.8217716217041,0.008025,,
sample_00092,1,2,1679304,0.051248291015625,12.313302993774414,0.07036173343658447,175.0,49.0,37630,bright,True,10.175,3.4997568130493164,-0.5369758605957031,-0.5369758605957031,"[-0.6899850845336915, -0.381133484840393]",0.30885159969329845,True,22.407470703125,6.402579350535362,90,92,0.021739130434782608,0.0,64,21.5,-22.5,21.5,-0.5,10.175,0.20577526092529297,0.5913141303592258,1.619537353515625,5.154224729537966,0.6222222222222222,0.4444444444444444,7.401705741882324,228.56848635307085,378.0,-0.04745188727094291,2.2917609475553036,0.7722315053926782,27.933460235595703,0.005925,,
sample_00151,1,2,1137440,0.0347119140625,16.447296142578125,0.09292257577180862,177.0,101.0,38253,bright,True,16.0,9.401471138000488,,9.485946655273438,"[9.195991897583008, 9.81495213508606]",0.6189602375030514,False,10.62493896484375,1.130135785015394,53,53,0.0,0.0,64,21.0,-48.5,21.0,10.0,16.0,1.7610054016113281,1.616853803958533,3.0626068115234375,9.942643356323243,0.8679245283018868,0.6226415094339622,11.553590774536133,78.69523819226978,774.0,0.15026685536941603,2.5052062147296965,0.7967928077278669,5.5917181968688965,0.194675,findings/kaggle_align/overlays/sample_00151_overlay.png,findings/kaggle_align/overlays/sample_00151_drift.png
sample_00154,1,2,2244139,0.06848568725585938,16.63434410095215,0.09451331943273544,176.0,104.0,38813,bright,True,5.0,9.611801147460938,,-0.47101354598999023,"[-0.6006157040596009, -0.3485056757926941]",0.25211002826690676,False,9.319725036621094,0.9696127597357755,80,86,0.06976744186046512,0.0,64,10.0,-11.5,10.0,-0.5,5.0,-0.30237340927124023,-0.28025835156440737,1.1816562414169312,3.037009906768803,0.575,0.2625,-4.364693641662598,38.203966881703714,438.5,-0.3085236973501991,2.2285055089741945,0.7632035554473228,5.523552894592285,0.191525,,
sample_00175,1,2,2469469,0.07536221313476563,10.632279396057129,0.05263504758477211,202.0,138.0,38150,bright,True,7.2,5.497136116027832,-0.017894744873046875,-0.017894744873046875,"[-0.16384806632995605, 0.12723406553268435]",0.2910821318626404,True,11.412506103515625,2.076082138523099,54,61,0.11475409836065574,0.0,64,16.0,-16.5,16.0,0.0,7.2,-0.06930756568908691,0.11877475844489203,0.8668410778045654,4.581355094909668,0.46296296296296297,0.37037037037037035,5.865500450134277,74.64094170514188,612.5,-0.03377406412824748,2.384262528270483,0.771085225597169,9.47261905670166,0.11665,,
sample_00176,1,2,828604,0.0252869873046875,12.047182083129883,0.05764202028512955,209.0,137.0,33971,bright,True,8.45,6.087515354156494,,-1.8327298164367676,"[-2.179493176937103, -1.4916988134384155]",0.6877943634986876,False,11.805740356445312,1.9393364401757889,21,21,0.0,0.0,64,11.0,-13.5,11.0,-3.5,8.45,-1.1237506866455078,-1.0109172094435919,2.4464645385742188,5.313970565795898,0.8571428571428571,0.6190476190476191,-6.1709442138671875,122.86708176343762,1765.0,-0.24133016441400623,2.304314449429512,0.7619545335772145,7.263277053833008,0.16955,findings/kaggle_align/overlays/sample_00176_overlay.png,findings/kaggle_align/overlays/sample_00176_drift.png
sample_00196,1,2,2961056,0.0903642578125,11.911297798156738,0.057542502880096436,207.0,142.0,38204,bright,True,5.9,6.501769542694092,,-0.4620380401611328,"[-0.6059509515762329, -0.34477298259735106]",0.26117796897888185,False,10.782333374023438,1.6583690491059206,48,62,0.22580645161290322,0.0,64,12.5,-12.0,12.0,-0.5,5.9,-0.2907397747039795,-0.3971753865480423,0.7216932773590088,3.8951801776886,0.4166666666666667,0.2708333333333333,5.2059855461120605,60.190302862119694,632.0,-0.17134539752482447,2.27587547339499,0.7573988249461738,8.000273704528809,0.13735,,
sample_00210,1,2,2425070,0.07400726318359375,11.72464656829834,0.05636849254369736,208.0,143.0,38053,bright,True,6.125,5.914196491241455,,-0.006760597229003906,"[-0.13525370359420777, 0.10606994628906255]",0.24132364988327032,False,10.692153930664062,1.8078793875885686,47,59,0.2033898305084746,0.0,64,12.5,-12.5,12.5,0.5,6.125,-0.14358043670654297,-0.05134982251106424,0.9392070770263672,2.427678918838501,0.46808510638297873,0.19148936170212766,-3.648252487182617,81.89956095771016,745.0,-0.04849619340900061,2.2955717891454697,0.7624290833084503,8.868123054504395,0.1261,,
sample_00216,1,2,1151256,0.035133544921875,12.629386901855469,0.058741334825754166,215.0,133.0,32916,bright,True,13.975000000000001,6.173740863800049,,8.274253845214844,"[-8.52971155643463, 8.369792079925537]",16.899503636360166,False,8.412033081054688,1.3625503996092458,37,37,0.0,0.0,64,15.5,-15.5,15.5,7.0,13.975000000000001,1.3937435150146484,0.9774181391741779,5.742570877075195,9.810806465148925,0.8918918918918919,0.8378378378378378,12.285385131835938,136.63819457377448,903.0,-0.14636273817264622,2.6396749392151833,0.8009541042934694,11.708100318908691,0.094625,findings/kaggle_align/overlays/sample_00216_overlay.png,findings/kaggle_align/overlays/sample_00216_drift.png
sample_00249,1,2,1195870,0.03649505615234375,12.685064315795898,0.05765938386321068,220.0,118.0,38891,bright,True,5.8500000000000005,6.496119499206543,0.41479015350341797,0.41479015350341797,"[0.34226369857788086, 0.49003047943115235]",0.1477667808532715,True,17.4779052734375,2.6905147412347183,48,59,0.1864406779661017,0.0,64,13.0,-16.0,13.0,0.0,5.8500000000000005,0.5147404670715332,0.3709976573785146,1.399709701538086,3.1686969280242927,0.6041666666666666,0.3125,5.270421504974365,130.90712735424592,731.0,0.12671160411225074,2.240218048915267,0.7662766174569698,10.760600090026855,0.08745,,
sample_00263,1,2,2084097,0.06360159301757813,12.469215393066406,0.05909580737352371,211.0,139.0,39508,bright,True,5.55,6.818509578704834,,-1.0609726905822754,"[-1.5047427535057067, -0.6401022672653198]",0.8646404862403869,False,3.861572265625,0.5663367076120615,38,58,0.3448275862068966,0.0,64,13.0,-9.0,9.0,-1.5,5.55,-0.021143674850463867,-0.01057735242341694,1.0399348735809326,3.0669881820678744,0.5,0.2894736842105263,-5.035160541534424,35.18685612652821,726.5,-0.04889275746665311,2.4994735129876062,0.7874362807098233,6.945849418640137,0.176325,,
sample_00291,1,2,1155747,0.03527059936523438,13.692032814025879,0.059790536761283875,229.0,101.0,34327,bright,True,13.375,6.866379261016846,-0.9424867630004883,-0.9424867630004883,"[-1.0980527877807618, -0.8112988471984863]",0.28675394058227544,True,32.63249206542969,4.752503586671548,61,61,0.0,0.0,64,17.5,-27.5,17.5,-5.5,13.375,-0.8938302993774414,-1.5617714866262968,3.1879348754882812,9.259754180908203,0.7213114754098361,0.6229508196721312,11.637996673583984,207.5058831934796,553.0,-0.15314177940313567,2.3065801188349724,0.7632194824135943,16.202022552490234,0.0274,findings/kaggle_align/overlays/sample_00291_overlay.png,findings/kaggle_align/overlays/sample_00291_drift.png
sample_00331,1,2,1105520,0.03373779296875,10.866168975830078,0.049617208540439606,219.0,104.0,35852,bright,True,13.55,5.4296979904174805,-0.02299022674560547,-0.02299022674560547,"[-0.12843115329742433, 0.08406059741973879]",0.2124917507171631,True,33.077064514160156,6.091879248631454,71,71,0.0,0.0,64,40.0,-29.0,29.0,0.5,13.55,0.2810354232788086,0.7170093294600366,2.9276533126831055,8.107386589050293,0.8028169014084507,0.676056338028169,11.928380012512207,283.57907360741086,419.0,0.07885083006069084,2.3303539343178272,0.777698331630916,16.65155029296875,0.040525,findings/kaggle_align/overlays/sample_00331_overlay.png,findings/kaggle_align/overlays/sample_00331_drift.png
sample_00337,1,2,1634839,0.04989132690429687,11.601426124572754,0.07074040174484253,164.0,89.0,36642,bright,True,11.675,6.369924545288086,,0.9488916397094727,"[0.7713611841201782, 1.156895685195923]",0.3855345010757447,False,11.093101501464844,1.7414808327157583,85,86,0.011627906976744186,0.0,64,35.5,-21.5,21.5,2.0,11.675,0.6088171005249023,0.9103251457214355,1.3966093063354492,5.365925407409674,0.6352941176470588,0.3764705882352941,8.400961875915527,65.83238863506458,397.0,0.1349466344387896,2.359518252313137,0.7672419344452315,8.353357315063477,0.088725,,
sample_00349,1,2,1138954,0.03475811767578125,11.002523422241211,0.06588337570428848,167.0,82.0,38575,bright,True,6.95,5.542692184448242,,1.2614164352416992,"[1.1293227910995483, 1.403549361228943]",0.27422657012939466,False,8.597679138183594,1.5511738433368307,59,63,0.06349206349206349,0.0,64,11.0,-13.5,11.0,2.0,6.95,0.9771108627319336,1.0413164567139188,1.6619071960449219,4.271434783935548,0.6440677966101694,0.423728813559322,5.687921524047852,86.98585339244187,524.0,0.22833703235929761,2.446172082796693,0.7867240925828511,10.358610153198242,0.068025,,
sample_00364,1,2,1884280,0.057503662109375,10.879624366760254,0.06437647342681885,169.0,82.0,38107,bright,True,9.0,5.457590103149414,-0.03850841522216797,-0.03850841522216797,"[-0.09417393207550048, 0.03002688884735112]",0.1242008209228516,True,25.566574096679688,4.684590380271683,87,87,0.0,0.0,64,20.0,-29.0,20.0,0.0,9.0,-0.005301475524902344,0.025814259189298784,0.684870719909668,3.091789817810061,0.3793103448275862,0.1839080459770115,-7.7735114097595215,119.54929092582535,420.0,0.0053344891190426425,1.974886642768979,0.7261568067177887,12.967803001403809,0.033575,,
sample_00413,1,2,791482,0.02415411376953125,8.861419677734375,0.05608493462204933,158.0,77.0,38234,bright,True,5.8500000000000005,4.27889347076416,-0.05771064758300781,-0.05771064758300781,"[-0.11056462526321412, -0.017180883884429912]",0.0933837413787842,True,28.395851135253906,6.636260362467668,55,56,0.017857142857142856,0.0,64,35.5,-13.0,13.0,0.0,5.8500000000000005,-0.27021265029907227,-0.15473848256197842,1.1586480140686035,2.958414745330811,0.5454545454545454,0.23636363636363636,4.4603095054626465,214.42231497737814,618.0,-0.12259186171647352,1.9039742201566696,0.7129993404261421,16.445476531982422,0.014825,,
sample_00418,1,2,1032565,0.03151138305664063,13.438090324401855,0.07549489289522171,178.0,84.0,37288,bright,True,8.775,6.568840026855469,0.14919281005859375,0.14919281005859375,"[0.026144361495971685, 0.2829323768615723]",0.2567880153656006,True,18.789649963378906,2.8604213052168954,64,66,0.030303030303030304,0.0,64,21.5,-19.5,19.5,0.0,8.775,0.2097606658935547,0.0036940500140190125,1.9145865440368652,4.604999208450318,0.703125,0.46875,-7.938091278076172,116.49459608082961,485.0,-0.14956949956035126,2.2009589094668627,0.7596894559460761,11.538829803466797,0.049375,,
sample_00433,1,2,2769291,0.08451205444335938,19.395263671875,0.11276315897703171,172.0,67.0,37445,bright,True,7.25,14.320069313049316,,-0.20584344863891602,"[-0.2560863375663757, -0.16279565095901488]",0.09329068660736084,False,27.24144744873047,1.9023265078686742,99,99,0.0,0.0,64,15.0,-25.5,15.0,-0.5,7.25,-0.17177343368530273,-0.07729362718986743,0.5903048515319824,2.5016716003417967,0.2828282828282828,0.13131313131313133,-5.857685089111328,43.03681644481226,336.0,-0.17594637465481885,1.947538085281849,0.7136587711915354,6.074942111968994,0.13685,,
sample_00436,1,2,2043971,0.062377044677734375,20.737743377685547,0.112095907330513,185.0,58.0,38445,bright,True,8.4,15.064123153686523,,1.7017154693603516,"[1.5316564798355103, 1.8928296089172363]",0.36117312908172594,False,12.9649658203125,0.8606518738622823,85,86,0.011627906976744186,0.0,64,16.0,-12.0,12.0,3.0,8.4,1.0640840530395508,1.0370143273297479,1.9354867935180664,4.72041358947754,0.7058823529411765,0.49411764705882355,6.695882797241211,39.939122669030965,445.0,0.2766876966542346,2.4792027547955513,0.7974956822107081,6.238264083862305,0.121025,,
sample_00453,1,2,1826520,0.055740966796875,18.9403133392334,0.10885237902402878,174.0,61.0,35020,bright,True,11.0,12.906779289245605,,1.0425167083740234,"[0.9391758441925049, 1.130426836013794]",0.19125099182128902,False,22.886703491210938,1.7732311817155628,67,67,0.0,0.0,64,20.0,-29.0,20.0,2.0,11.0,0.5199966430664062,0.6514206573144713,1.1677923202514648,4.488041687011719,0.5522388059701493,0.29850746268656714,7.735509872436523,57.130537836662455,477.0,0.1601278086973389,2.1850985810160637,0.7547054322876817,7.193915843963623,0.099125,,
sample_00470,1,2,2446921,0.07467410278320312,17.915002822875977,0.10538236796855927,170.0,68.0,38128,bright,True,7.9750000000000005,11.943923950195312,,-0.8218817710876465,"[-0.9735505700111389, -0.6695777416229248]",0.30397282838821404,False,11.092506408691406,0.9287154250936114,79,82,0.036585365853658534,0.0,64,15.5,-30.0,15.5,-1.0,7.9750000000000005,-0.7258338928222656,-0.5387390957602972,1.9913148880004883,5.390892696380616,0.6582278481012658,0.4936708860759494,-7.233592510223389,40.13690542405148,438.0,-0.20644573225454546,2.362909197807312,0.7744046654786976,6.644460678100586,0.14305,,
sample_00482,1,2,476686,0.028412699699401855,18.360807418823242,0.10737314075231552,171.0,62.0,34666,bright,True,8.6,12.972535133361816,0.24843788146972656,0.24843788146972656,"[0.19994077682495118, 0.3166130781173706]",0.11667230129241943,True,28.464397430419922,2.194204689969755,25,25,0.0,0.0,64,32.0,-18.0,18.0,0.5,8.6,0.17473983764648438,0.518056640625,0.6980962753295898,2.4925532341003427,0.36,0.16,4.030915260314941,102.97645253136693,1478.0,0.03322286915316323,2.023137458600104,0.727938967982219,7.406030654907227,0.08265,,
