name,has_image,has_label,label_shape,label_dtype,label_compression,label_bytes,label_header_error,shape,dtype,values,value_fractions_0,value_fractions_1,value_fractions_2,n_values,foreground_fraction,border_touch_fraction,per_class_1,per_class_2,surface_class,surface_fraction,surface_thickness_median,surface_thickness_p95,surface_components,surface_fragment_fraction,surface_worst_planarity,surface_junction_fraction,image_shape,image_dtype,image_compression,image_bytes,image_header_error
sample_00001,False,True,"[320, 320, 320]",uint8,LZW,689529,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.20694009399414062,0.042213470458984374,0.750846435546875,3,0.7930599060058594,0.02364260235324703,"{'fraction': 0.042213470458984374, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 4.47213595499958, 'mean': 2.377116150939107}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.22286844542313725, 'fragment_fraction': 0.0, 'median_planarity': 0.005941256318786529, 'worst_planarity': 0.007366066013917327}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.001, 'junctions': 4, 'radius': 5}}","{'fraction': 0.750846435546875, 'thickness': {'median': 157.40393895960798, 'p95': 378.3913318246072, 'max': 485.8065458595633, 'mean': 172.16711348239002}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.2979176942387154, 'worst_planarity': 0.2979176942387154}, 'border_touch_fraction': 0.024971817288236227, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.042213470458984374,2.0,4.0,5,0.0,0.007366066013917327,0.001,,,,,
sample_00002,True,True,"[320, 320, 320]",uint8,LZW,705353,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.32041799926757814,0.05950210571289063,0.6200798950195312,3,0.6795820007324219,0.027590489418189597,"{'fraction': 0.05950210571289063, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 4.47213595499958, 'mean': 2.433404350495603}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.15460170841101364, 'fragment_fraction': 0.0, 'median_planarity': 0.003556498639879113, 'worst_planarity': 0.009443482759909671}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0015, 'junctions': 6, 'radius': 5}}","{'fraction': 0.6200798950195312, 'thickness': {'median': 108.48041297856494, 'p95': 290.3101789465881, 'max': 374.0908980448468, 'mean': 122.24021205095744}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.29767297235554024, 'worst_planarity': 0.29767297235554024}, 'border_touch_fraction': 0.03023803892143514, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.05950210571289063,2.0,4.0,8,0.0,0.009443482759909671,0.0015,"[74, 320, 320]",uint8,LZW,7175386,
sample_00003,True,True,"[320, 320, 320]",uint8,LZW,1149609,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.2986820068359375,0.0635909423828125,0.63772705078125,3,0.7013179931640625,0.02673537565378524,"{'fraction': 0.0635909423828125, 'thickness': {'median': 2.0, 'p95': 2.8284271247461903, 'max': 4.0, 'mean': 2.341418243744489}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.16160591395888563, 'fragment_fraction': 0.0, 'median_planarity': 0.004949228720277565, 'worst_planarity': 0.00772706524934658}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00225, 'junctions': 9, 'radius': 5}}","{'fraction': 0.63772705078125, 'thickness': {'median': 65.57438524302, 'p95': 279.0913828838146, 'max': 429.93953063192504, 'mean': 95.07478938021647}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.26231599785815063, 'worst_planarity': 0.26231599785815063}, 'border_touch_fraction': 0.029401293197505483, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.0635909423828125,2.0,2.8284271247461903,8,0.0,0.00772706524934658,0.00225,"[40, 320, 320]",uint8,LZW,4419584,
sample_00004,False,True,"[320, 320, 320]",uint8,LZW,1391545,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.7027449035644531,0.1087099609375,0.18854513549804688,3,0.2972550964355469,0.06307713551369007,"{'fraction': 0.1087099609375, 'thickness': {'median': 2.0, 'p95': 3.4641016151377544, 'max': 4.47213595499958, 'mean': 2.3749760179032413}, 'components': {'n_components': 18, 'n_components_ge_min_size': 18, 'largest_component_fraction': 0.08819024604964112, 'fragment_fraction': 0.0, 'median_planarity': 0.007265065106701092, 'worst_planarity': 0.01703328356124684}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.003, 'junctions': 12, 'radius': 5}}","{'fraction': 0.18854513549804688, 'thickness': {'median': 13.2664991614216, 'p95': 39.395431207184416, 'max': 80.84553172563095, 'mean': 16.416260769241294}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.19897733847515178, 'worst_planarity': 0.19897733847515178}, 'border_touch_fraction': 0.09944568418841138, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.1087099609375,2.0,3.4641016151377544,18,0.0,0.01703328356124684,0.003,,,,,
sample_00005,False,True,"[320, 320, 320]",uint8,NONE,32821210,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.7096263732910156,0.09949990844726563,0.19087371826171876,3,0.29037362670898437,0.0645719799435899,"{'fraction': 0.09949990844726563, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 4.0, 'mean': 2.45400681855633}, 'components': {'n_components': 15, 'n_components_ge_min_size': 15, 'largest_component_fraction': 0.09122433262289165, 'fragment_fraction': 0.0, 'median_planarity': 0.002508948932829403, 'worst_planarity': 0.005523406786065133}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00125, 'junctions': 5, 'radius': 5}}","{'fraction': 0.19087371826171876, 'thickness': {'median': 14.560219778561036, 'p95': 42.8485705712571, 'max': 78.20485918406861, 'mean': 18.025443525674373}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.31532458415147563, 'worst_planarity': 0.31532458415147563}, 'border_touch_fraction': 0.09823248674964626, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00025, 'junctions': 1, 'radius': 5}}",1,0.09949990844726563,2.0,4.0,15,0.0,0.005523406786065133,0.00125,,,,,
sample_00006,False,True,"[320, 320, 320]",uint8,LZW,1179177,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.3682284851074219,0.07312643432617187,0.5586450805664063,3,0.6317715148925781,0.029678451082410885,"{'fraction': 0.07312643432617187, 'thickness': {'median': 2.0, 'p95': 2.8284271247461903, 'max': 4.47213595499958, 'mean': 2.320567983598021}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.13149740402227353, 'fragment_fraction': 0.0, 'median_planarity': 0.0019539119052374475, 'worst_planarity': 0.003622577769664122}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00075, 'junctions': 3, 'radius': 5}}","{'fraction': 0.5586450805664063, 'thickness': {'median': 41.08527716834828, 'p95': 182.43903091169938, 'max': 291.115097512994, 'mean': 62.80925670326659}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.25397317135791064, 'worst_planarity': 0.25397317135791064}, 'border_touch_fraction': 0.033563349346940476, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.07312643432617187,2.0,2.8284271247461903,8,0.0,0.003622577769664122,0.00075,,,,,
sample_00007,False,True,"[320, 320, 320]",uint8,LZW,654393,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.12556842041015626,0.026177215576171874,0.8482543640136718,3,0.8744315795898437,0.021442500977371808,"{'fraction': 0.026177215576171874, 'thickness': {'median': 2.0, 'p95': 2.8284271247461903, 'max': 4.0, 'mean': 2.324671510087228}, 'components': {'n_components': 6, 'n_components_ge_min_size': 6, 'largest_component_fraction': 0.27360904666142055, 'fragment_fraction': 0.0, 'median_planarity': 0.004560775612775542, 'worst_planarity': 0.006875444597294534}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00475, 'junctions': 19, 'radius': 5}}","{'fraction': 0.8482543640136718, 'thickness': {'median': 195.2331938989884, 'p95': 464.11270182150946, 'max': 615.8571262882325, 'mean': 208.5184040589103}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.28786975073898025, 'worst_planarity': 0.28786975073898025}, 'border_touch_fraction': 0.02210421872901534, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.026177215576171874,2.0,2.8284271247461903,6,0.0,0.006875444597294534,0.00475,,,,,
sample_00008,False,True,"[320, 320, 320]",uint8,LZW,1467001,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.33531817626953125,0.0810006103515625,0.5836812133789062,3,0.6646818237304688,0.028208985608734208,"{'fraction': 0.0810006103515625, 'thickness': {'median': 2.0, 'p95': 2.8284271247461903, 'max': 4.47213595499958, 'mean': 2.339345895360142}, 'components': {'n_components': 17, 'n_components_ge_min_size': 17, 'largest_component_fraction': 0.1272147682866732, 'fragment_fraction': 0.0, 'median_planarity': 0.002609327539597648, 'worst_planarity': 0.020045740165989503}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00425, 'junctions': 17, 'radius': 5}}","{'fraction': 0.5836812133789062, 'thickness': {'median': 36.49657518178932, 'p95': 105.98113039593416, 'max': 152.43359209832983, 'mean': 43.615712037566205}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.3033236965052599, 'worst_planarity': 0.3033236965052599}, 'border_touch_fraction': 0.03212369966724992, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.0810006103515625,2.0,2.8284271247461903,17,0.0,0.020045740165989503,0.00425,,,,,
sample_00009,False,True,"[320, 320, 320]",uint8,LZW,995065,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.30540960693359376,0.06422171020507812,0.6303686828613281,3,0.6945903930664062,0.0269943267099109,"{'fraction': 0.06422171020507812, 'thickness': {'median': 2.0, 'p95': 3.4641016151377544, 'max': 4.0, 'mean': 2.355688438738751}, 'components': {'n_components': 12, 'n_components_ge_min_size': 12, 'largest_component_fraction': 0.14495321031905747, 'fragment_fraction': 0.0, 'median_planarity': 0.0018678971262857593, 'worst_planarity': 0.006058116684517853}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.004, 'junctions': 16, 'radius': 5}}","{'fraction': 0.6303686828613281, 'thickness': {'median': 45.65084884205331, 'p95': 111.37324633860683, 'max': 147.41777369096306, 'mean': 49.71746689710039}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.30088735142314915, 'worst_planarity': 0.30088735142314915}, 'border_touch_fraction': 0.029744497957752646, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.06422171020507812,2.0,3.4641016151377544,12,0.0,0.006058116684517853,0.004,,,,,
sample_00010,False,True,"[320, 320, 320]",uint8,LZW,730729,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.226891357421875,0.034011871337890624,0.7390967712402344,3,0.773108642578125,0.02425273624865118,"{'fraction': 0.034011871337890624, 'thickness': {'median': 2.0, 'p95': 2.8284271247461903, 'max': 4.47213595499958, 'mean': 2.3151813149018188}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.2409849789277892, 'fragment_fraction': 0.0, 'median_planarity': 0.012330793086653715, 'worst_planarity': 0.023197614776243485}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00425, 'junctions': 17, 'radius': 5}}","{'fraction': 0.7390967712402344, 'thickness': {'median': 184.49390225864124, 'p95': 421.4925859371669, 'max': 584.9649562153274, 'mean': 195.09691879618816}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.21839528823683402, 'worst_planarity': 0.21839528823683402}, 'border_touch_fraction': 0.025368802475671404, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.034011871337890624,2.0,2.8284271247461903,8,0.0,0.023197614776243485,0.00425,,,,,
sample_00011,False,True,"[320, 320, 320]",uint8,LZW,654121,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.22920343017578124,0.05275820922851562,0.7180383605957031,3,0.7707965698242187,0.024325484484545596,"{'fraction': 0.05275820922851562, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 4.0, 'mean': 2.457789795214606}, 'components': {'n_components': 8, 'n_components_ge_min_size': 8, 'largest_component_fraction': 0.17157580977578998, 'fragment_fraction': 0.0, 'median_planarity': 0.004705166288416359, 'worst_planarity': 0.010730067370694367}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.002, 'junctions': 8, 'radius': 5}}","{'fraction': 0.7180383605957031, 'thickness': {'median': 44.63182720884279, 'p95': 116.0344776348823, 'max': 173.91952161847732, 'mean': 49.50462217974902}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.3201865020124209, 'worst_planarity': 0.3201865020124209}, 'border_touch_fraction': 0.02611281099862759, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.05275820922851562,2.0,4.0,8,0.0,0.010730067370694367,0.002,,,,,
sample_00013,False,True,"[320, 320, 320]",uint8,LZW,753817,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.15484246826171874,0.029949462890625,0.8152080688476563,3,0.8451575317382812,0.022185213165450777,"{'fraction': 0.029949462890625, 'thickness': {'median': 2.0, 'p95': 2.8284271247461903, 'max': 4.47213595499958, 'mean': 2.336244672942148}, 'components': {'n_components': 3, 'n_components_ge_min_size': 3, 'largest_component_fraction': 0.34418127868398096, 'fragment_fraction': 0.0, 'median_planarity': 0.008905395157335395, 'worst_planarity': 0.01055069307299423}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00225, 'junctions': 9, 'radius': 5}}","{'fraction': 0.8152080688476563, 'thickness': {'median': 112.30316113093166, 'p95': 314.82757184263966, 'max': 497.2886485734417, 'mean': 130.55179525912465}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.28627523908811064, 'worst_planarity': 0.28627523908811064}, 'border_touch_fraction': 0.023000263020585908, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.029949462890625,2.0,2.8284271247461903,3,0.0,0.01055069307299423,0.00225,,,,,
sample_00015,False,True,"[320, 320, 320]",uint8,LZW,443593,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.18563601684570313,0.03574710083007813,0.7786168823242188,3,0.8143639831542969,0.023024102720475365,"{'fraction': 0.03574710083007813, 'thickness': {'median': 2.0, 'p95': 4.0, 'max': 4.47213595499958, 'mean': 2.456370699562192}, 'components': {'n_components': 4, 'n_components_ge_min_size': 4, 'largest_component_fraction': 0.25321485007610806, 'fragment_fraction': 0.0, 'median_planarity': 0.0013420840207344163, 'worst_planarity': 0.004569159510567143}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0015, 'junctions': 6, 'radius': 5}}","{'fraction': 0.7786168823242188, 'thickness': {'median': 120.41594578792295, 'p95': 350.6568122801192, 'max': 440.36802790393403, 'mean': 144.6442238867631}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.29455498017507187, 'worst_planarity': 0.29455498017507187}, 'border_touch_fraction': 0.024081162925764094, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.03574710083007813,2.0,4.0,4,0.0,0.004569159510567143,0.0015,,,,,
sample_00016,False,True,"[320, 320, 320]",uint8,LZW,899641,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.6110146484375,0.06951663208007812,0.3194687194824219,3,0.3889853515625,0.0482023292771408,"{'fraction': 0.06951663208007812, 'thickness': {'median': 2.0, 'p95': 3.4641016151377544, 'max': 4.47213595499958, 'mean': 2.362313177295091}, 'components': {'n_components': 11, 'n_components_ge_min_size': 11, 'largest_component_fraction': 0.13401298815893967, 'fragment_fraction': 0.0, 'median_planarity': 0.009081838291932052, 'worst_planarity': 0.028460236809783327}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00175, 'junctions': 7, 'radius': 5}}","{'fraction': 0.3194687194824219, 'thickness': {'median': 73.53910524340094, 'p95': 195.80602646496865, 'max': 299.3993987969916, 'mean': 81.87616629561185}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.2095827531253718, 'worst_planarity': 0.2095827531253718}, 'border_touch_fraction': 0.05869119214669053, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.06951663208007812,2.0,3.4641016151377544,11,0.0,0.028460236809783327,0.00175,,,,,
sample_00017,False,True,"[320, 320, 320]",uint8,LZW,643961,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.09615530395507813,0.026715667724609374,0.8771290283203125,3,0.9038446960449219,0.02074471430993285,"{'fraction': 0.026715667724609374, 'thickness': {'median': 2.0, 'p95': 2.8284271247461903, 'max': 4.47213595499958, 'mean': 2.3303948457478008}, 'components': {'n_components': 5, 'n_components_ge_min_size': 5, 'largest_component_fraction': 0.2735570052740459, 'fragment_fraction': 0.0, 'median_planarity': 0.0165484323182317, 'worst_planarity': 0.02078759768516481}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.00525, 'junctions': 21, 'radius': 5}}","{'fraction': 0.8771290283203125, 'thickness': {'median': 169.20401876158735, 'p95': 421.85329203282544, 'max': 584.4689897676351, 'mean': 181.87002955119402}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.3069231250116536, 'worst_planarity': 0.3069231250116536}, 'border_touch_fraction': 0.021376558516032627, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.026715667724609374,2.0,2.8284271247461903,5,0.0,0.02078759768516481,0.00525,,,,,
sample_00018,False,True,"[320, 320, 320]",uint8,LZW,698873,,"[320, 320, 320]",uint8,"[0, 1, 2]",0.2474979248046875,0.030993560791015624,0.7215085144042969,3,0.7525020751953125,0.024916874807466044,"{'fraction': 0.030993560791015624, 'thickness': {'median': 2.0, 'p95': 2.8284271247461903, 'max': 4.47213595499958, 'mean': 2.3123033889622993}, 'components': {'n_components': 7, 'n_components_ge_min_size': 7, 'largest_component_fraction': 0.2934953529795775, 'fragment_fraction': 0.0, 'median_planarity': 0.02547180888158837, 'worst_planarity': 0.03165429518711151}, 'border_touch_fraction': 0.0, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.003, 'junctions': 12, 'radius': 5}}","{'fraction': 0.7215085144042969, 'thickness': {'median': 167.833250579258, 'p95': 346.4909811236073, 'max': 521.9540209635328, 'mean': 169.96030215464626}, 'components': {'n_components': 1, 'n_components_ge_min_size': 1, 'largest_component_fraction': 1.0, 'fragment_fraction': 0.0, 'median_planarity': 0.21923152393673623, 'worst_planarity': 0.21923152393673623}, 'border_touch_fraction': 0.025987219312970503, 'junctions': {'n_samples': 4000, 'junction_fraction': 0.0, 'junctions': 0, 'radius': 5}}",1,0.030993560791015624,2.0,2.8284271247461903,7,0.0,0.03165429518711151,0.003,,,,,
